x,y,z,z_group
-2.025,-2,3.033494853902059e-4,a
-1.825,-2,6.551639816487877e-4,a
-1.625,-2,0.0013062106070345731,a
-1.4249999999999998,-2,0.002403991014608052,a
-1.2249999999999999,-2,0.00408421800434631,a
-1.025,-2,0.006405328864414654,a
-0.8249999999999998,-2,0.00927321631531522,a
-0.6249999999999999,-2,0.012392981186193544,a
-0.42499999999999993,-2,0.015288948986863669,a
-0.22499999999999995,-2,0.017411489057442563,a
-0.025,-2,0.018304195190956787,a
0.17500000000000018,-2,0.01776322446826411,a
0.37500000000000033,-2,0.015912902831605506,a
0.5750000000000001,-2,0.01315932034414936,a
0.7750000000000002,-2,0.0100455553101334,a
0.975,-2,0.007078983181661592,a
1.1750000000000003,-2,0.004604942941064263,a
1.3750000000000004,-2,0.002765247876791838,a
1.5750000000000002,-2,0.001532852347159882,a
1.7750000000000004,-2,7.84373694521946e-4,a
1.975,-2,3.7051189814206605e-4,a
-2.025,-1.8,6.486449911098248e-4,a
-1.825,-1.8,0.0014009215624856165,a
-1.625,-1.8,0.0027930390799827415,a
-1.4249999999999998,-1.8,0.0051403968208244165,a
-1.2249999999999999,-1.8,0.008733186238018687,a
-1.025,-1.8,0.013696362395239742,a
-0.8249999999999998,-1.8,0.019828697934561667,a
-0.6249999999999999,-1.8,0.026499616971502105,a
-0.42499999999999993,-1.8,0.0326919960549995,a
-0.22499999999999995,-1.8,0.03723057301496999,a
-0.025,-1.8,0.039139425312155134,a
0.17500000000000018,-1.8,0.03798268047983636,a
0.37500000000000033,-1.8,0.03402618172389852,a
0.5750000000000001,-1.8,0.028138261769794597,a
0.7750000000000002,-1.8,0.0214801720413438,a
0.975,-1.8,0.01513682140264389,a
1.1750000000000003,-1.8,0.009846639987622393,a
1.3750000000000004,-1.8,0.005912863778723303,a
1.5750000000000002,-1.8,0.003277661723464709,a
1.7750000000000004,-1.8,0.0016772076189795126,a
1.975,-1.8,7.92256781208319e-4,a
-2.025,-1.6,0.0012803459040744995,a
-1.825,-1.6,0.0027652478767918433,a
-1.625,-1.6,0.005513117645227348,a
-1.4249999999999998,-1.6,0.010146514819453499,a
-1.2249999999999999,-1.6,0.017238241846646473,a
-1.025,-1.6,0.027034944744522196,a
-0.8249999999999998,-1.6,0.039139425312155134,a
-0.6249999999999999,-1.6,0.05230700385268404,a
-0.42499999999999993,-1.6,0.06453000303512914,a
-0.22499999999999995,-1.6,0.07348859903242905,a
-0.025,-1.6,0.07725644007595972,a
0.17500000000000018,-1.6,0.07497316720957306,a
0.37500000000000033,-1.6,0.06716352241762989,a
0.5750000000000001,-1.6,0.055541488331068846,a
0.7750000000000002,-1.6,0.04239923327688755,a
0.975,-1.6,0.029878234703428003,a
1.1750000000000003,-1.6,0.01943606340885772,a
1.3750000000000004,-1.6,0.011671270146533906,a
1.5750000000000002,-1.6,0.006469703489731058,a
1.7750000000000004,-1.6,0.003310602771430908,a
1.975,-1.6,0.0015638180186356703,a
-2.025,-1.4,0.00233294234281713,a
-1.825,-1.4,0.005038610144042358,a
-1.625,-1.4,0.010045555310133408,a
-1.4249999999999998,-1.4,0.01848815541096714,a
-1.2249999999999999,-1.4,0.03141012455445296,a
-1.025,-1.4,0.049260881086512526,a
-0.8249999999999998,-1.4,0.07131668269775807,a
-0.6249999999999999,-1.4,0.09530957511207447,a
-0.42499999999999993,-1.4,0.11758133171956553,a
-0.22499999999999995,-1.4,0.13390495791134888,a
-0.025,-1.4,0.14077041191364906,a
0.17500000000000018,-1.4,0.1366100174973844,a
0.37500000000000033,-1.4,0.12237991689761296,a
0.5750000000000001,-1.4,0.10120319008971067,a
0.7750000000000002,-1.4,0.07725644007595976,a
0.975,-1.4,0.054441693175596356,a
1.1750000000000003,-1.4,0.03541481654286173,a
1.3750000000000004,-1.4,0.02126644075843595,a
1.5750000000000002,-1.4,0.011788568361591052,a
1.7750000000000004,-1.4,0.006032311550449189,a
1.975,-1.4,0.0028494622121454914,a
-2.025,-1.2,0.003924073525771709,a
-1.825,-1.2,0.00847508157833253,a
-1.625,-1.2,0.016896901788223874,a
-1.4249999999999998,-1.2,0.03109758859317681,a
-1.2249999999999999,-1.2,0.052832697981075774,a
-1.025,-1.2,0.08285816403604299,a
-0.8249999999999998,-1.2,0.11995663218243124,a
-0.6249999999999999,-1.2,0.160313340619562,a
-0.42499999999999993,-1.2,0.19777505104072582,a
-0.22499999999999995,-1.2,0.2252318416386544,a
-0.025,-1.2,0.23677972509825918,a
0.17500000000000018,-1.2,0.22978182665644922,a
0.37500000000000033,-1.2,0.2058464039896369,a
0.5750000000000001,-1.2,0.17022656396862568,a
0.7750000000000002,-1.2,0.1299474683250694,a
0.975,-1.2,0.09157243321777621,a
1.1750000000000003,-1.2,0.05956870063410692,a
1.3750000000000004,-1.2,0.03577074136637261,a
1.5750000000000002,-1.2,0.01982869793456165,a
1.7750000000000004,-1.2,0.01014651481945349,a
1.975,-1.2,0.004792874227600869,a
-2.025,-1,0.006092937289434964,a
-1.825,-1,0.013159320344149373,a
-1.625,-1,0.026235941377052294,a
-1.4249999999999998,-1,0.04828545028692141,a
-1.2249999999999999,-1,0.08203371152864568,a
-1.025,-1,0.12865446941136027,a
-0.8249999999999998,-1,0.18625752869797021,a
-0.6249999999999999,-1,0.2489196812036605,a
-0.42499999999999993,-1,0.3070867493923829,a
-0.22499999999999995,-1,0.3497191063509408,a
-0.025,-1,0.3676495883571968,a
0.17500000000000018,-1,0.3567839009321892,a
0.37500000000000033,-1,0.3196191973793099,a
0.5750000000000001,-1,0.26431201465646675,a
0.7750000000000002,-1,0.20177037209560844,a
0.975,-1,0.14218517807388836,a
1.1750000000000003,-1,0.09249275147191861,a
1.3750000000000004,-1,0.0555414883310688,a
1.5750000000000002,-1,0.03078816241667469,a
1.7750000000000004,-1,0.01575456680289767,a
1.975,-1,0.007441930410612816,a
-2.025,-0.7999999999999998,0.008733186238018687,a
-1.825,-0.7999999999999998,0.018861640924891593,a
-1.625,-0.7999999999999998,0.037604746494409785,a
-1.4249999999999998,-0.7999999999999998,0.0692089561915355,a
-1.2249999999999999,-0.7999999999999998,0.11758133171956557,a
-1.025,-0.7999999999999998,0.1844042353219563,a
-0.8249999999999998,-0.7999999999999998,0.2669683945661175,a
-0.6249999999999999,-0.7999999999999998,0.35678390093218937,a
-0.42499999999999993,-0.7999999999999998,0.4401564707258223,a
-0.22499999999999995,-0.7999999999999998,0.5012626819665594,a
