x1,x2,x3,x4,y
-0.8571428571428572,0,1,C,-1.4803415761645997
-2.142857142857143,3,1,D,-29.57741920079098
0.8571428571428568,0.8571428571428568,2,D,3.6769757503545177
3,2.571428571428571,1,B,-12.878745649990739
2.571428571428571,-2.5714285714285716,1,A,-35.489922337884536
0.8571428571428568,2.1428571428571423,3,A,5.716271200751745
3,-1.2857142857142858,1,B,3.4858692226906762
-2.142857142857143,0.4285714285714284,3,A,-6.9781167064783745
1.2857142857142856,-0.8571428571428572,3,A,-8.529395398255927
2.571428571428571,-1.7142857142857144,1,A,-24.215533465951186
-0.8571428571428572,-0.4285714285714288,2,B,0.34759263681970465
-2.5714285714285716,-2.142857142857143,3,B,-6.903617678395404
2.1428571428571423,0,1,A,-2.0758172739083247
3,-0.8571428571428572,2,D,-9.50742535428176
2.1428571428571423,-0.4285714285714288,1,A,-8.839546499337867
-0.4285714285714288,2.1428571428571423,3,A,-4.958801994575502
0.4285714285714284,-1.7142857142857144,1,C,2.898860127394297
-1.7142857142857144,-3,1,A,23.24807518467773
3,-2.142857142857143,1,C,-35.40537743928044
-0.4285714285714288,-0.8571428571428572,2,A,4.839699406349572
1.7142857142857144,-3,2,D,-39.278784346369356
3,0,3,C,4.2058167017880255
-0.8571428571428572,-1.7142857142857144,3,C,17.58184339455618
1.7142857142857144,-0.8571428571428572,3,D,-13.755486959726213
-0.8571428571428572,0.8571428571428568,3,D,-6.355103567467923
-0.8571428571428572,0.8571428571428568,2,D,-2.025563862066397
-0.4285714285714288,0,2,D,-6.656600706527939
-0.4285714285714288,0.4285714285714284,1,C,-2.8309513989248978
-0.4285714285714288,1.2857142857142856,1,C,-5.628367585590079
-2.5714285714285716,-3,1,D,14.902453158758856
-2.5714285714285716,-0.8571428571428572,2,C,17.36170163725519
-1.7142857142857144,0.4285714285714284,3,B,-0.37003895345653026
2.571428571428571,0.4285714285714284,1,C,12.32784746360156
-2.142857142857143,-1.2857142857142858,2,B,0.27719073008568773
-1.7142857142857144,2.1428571428571423,1,C,-29.38996601838653
-2.5714285714285716,0,1,C,-1.7083217642511248
0.4285714285714284,-0.4285714285714288,3,A,-8.329330617074614
-2.5714285714285716,-3,3,B,-5.760569336812745
3,1.7142857142857144,2,A,24.436925171589852
